PROJECT_ID,SHIPMENT_NUMBER,CARRIER_DISPLAY_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,LATEST_GPS_TIMESTAMP,DISTANCE,COLLECTION_DAY,DELIVERY_DAY,DELIVERY_HOUR,DELIVERY_WINDOW_DURATION,SHIPMENT_DURATION,DELAYED,CARRIER_ID_CONDENSED,IS_VAN
98d76108-ba01-441a-8425-641afdb920fb,SEZHUK-231130-268105,CAUK000155,TractorUnit,Box,BD12 7ER,RG19 4BQ,53.753295,-1.722689,51.398689,-1.232386,2023-12-06 19:00:00+00:00,2023-12-06 19:30:00+00:00,2023-12-07 02:00:00+00:00,2023-12-07 02:30:00+00:00,2023-12-07 00:03:00+00:00,264.1145031311523,Wednesday,Thursday,2,0.5,7.5,0,7,0
2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,SEZHUK-231207-271124,CAUK001047,TractorUnit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2023-12-08 19:00:00+00:00,2023-12-08 20:00:00+00:00,2023-12-09 01:30:00+00:00,2023-12-09 02:00:00+00:00,2023-12-09 00:24:00+00:00,198.28262164838597,Friday,Saturday,2,0.5,7.0,0,48,0
66a23663-0195-46f2-a5e4-da256bcba47b,SEZHUK-231025-256350,CAUK001009,3.5TVan,LWB Van,NP10 9DQ,DE74 2TR,51.582459,-3.043825,52.829374,-1.332134,2023-11-11 08:30:00+00:00,2023-11-11 09:30:00+00:00,2023-11-11 12:30:00+00:00,2023-11-11 13:30:00+00:00,2023-11-11 11:51:00+00:00,181.49137940894244,Saturday,Saturday,13,1.0,5.0,0,44,1
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231006-250779,CAUK000435,TractorUnit,40ft Container,AL10 8XF,DE74 2HL,51.742307,-0.219644,52.849282,-1.354253,2023-10-07 14:00:00+00:00,2023-10-07 14:30:00+00:00,2023-10-07 19:15:00+00:00,2023-10-07 20:00:01+00:00,2023-10-07 19:17:00+01:00,145.4757115815509,Saturday,Saturday,20,0.7502777777777778,6.000277777777778,0,24,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231210-272014,CAUK001068,TractorUnit,Box 44ft,BD5 8LZ,BS35 3UT,53.767302,-1.74656,51.602415,-2.522567,2023-12-12 03:20:00+00:00,2023-12-12 05:00:00+00:00,2023-12-12 10:15:00+00:00,2023-12-12 14:22:00+00:00,2023-12-14 11:12:00+00:00,246.55447740987196,Tuesday,Tuesday,14,4.116666666666666,11.033333333333333,1,49,0
2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,SEZHUK-231204-269423,CAUK000116,TractorUnit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3FY,51.785961,-2.619676,53.293393,-1.074008,2023-12-05 11:00:00+00:00,2023-12-05 12:00:00+00:00,2023-12-05 19:00:00+00:00,2023-12-05 20:00:00+00:00,2023-12-06 08:03:00+00:00,197.8173467432695,Tuesday,Tuesday,20,1.0,9.0,1,4,0
bad2a1c4-4cf3-4157-864f-ce161784831f,SEZHUK-230929-248693,CAUK000222,TractorUnit,Curtain-Side 13.6M Trailer,L11 0JA,WV4 6UD,53.462845,-2.896967,52.560452,-2.099437,2023-10-03 11:00:00+00:00,2023-10-03 11:01:00+00:00,2023-10-03 17:55:00+00:00,2023-10-03 18:25:00+00:00,2023-10-03 19:37:00+01:00,113.79814434622811,Tuesday,Tuesday,18,0.5,7.416666666666667,0,11,0
98d76108-ba01-441a-8425-641afdb920fb,SEZHUK-231122-265371,CAUK000940,TractorUnit,Box,S18 1PF,HP2 7PZ,53.304842,-1.482042,51.768864,-0.433083,2023-12-01 09:00:00+00:00,2023-12-01 09:30:00+00:00,2023-12-01 15:30:00+00:00,2023-12-01 16:00:00+00:00,2023-12-01 13:22:00+00:00,185.14206514552544,Friday,Friday,16,0.5,7.0,0,41,0
66a23663-0195-46f2-a5e4-da256bcba47b,SEZHUK-231206-270220,CAUK001009,3.5TVan,LWB Van,DE74 2TR,RG2 0RP,52.829374,-1.332134,51.432237,-0.984601,2023-12-21 04:00:00+00:00,2023-12-21 05:00:00+00:00,2023-12-21 07:45:00+00:00,2023-12-21 08:45:00+00:00,2023-12-21 07:27:00+00:00,157.26966363697647,Thursday,Thursday,8,1.0,4.75,0,44,1
e9c98f2d-327b-46b9-b3de-0c2e069e262d,SEZHUK-231205-270002,CAUK000770,TractorUnit,Curtain-Side 13.6M Trailer,DN11 9HE,NN6 7TZ,53.437296,-1.068189,52.35193,-1.144734,2023-12-06 16:00:00+00:00,2023-12-06 16:59:00+00:00,2023-12-07 09:55:00+00:00,2023-12-07 10:25:00+00:00,2023-12-07 11:17:00+00:00,120.89395646821744,Wednesday,Thursday,10,0.5,18.416666666666668,1,32,0
